

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
101.733  000.723  000.131: sourcing /Users/win/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
102.566  000.640  000.640: sourcing /Users/win/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
103.911  000.096  000.096: require('nvim-treesitter.highlight')
104.537  000.254  000.254: require('nvim-treesitter.locals')
104.540  000.524  000.269: require('nvim-treesitter.incremental_selection')
105.027  000.205  000.205: require('nvim-treesitter.indent')
105.356  000.065  000.065: sourcing /Users/win/.local/share/nvim/lazy/nvim-ts-context-commentstring/plugin/ts_context_commentstring.lua
105.415  000.386  000.322: require('ts_context_commentstring')
105.696  000.280  000.280: require('ts_context_commentstring.config')
105.701  013.115  002.771: require('nvim-treesitter')
105.703  013.392  000.174: require('telescope.previewers.utils')
106.791  001.087  001.087: require('plenary.filetype')
106.938  014.906  000.427: require('telescope.previewers.buffer_previewer')
106.940  015.891  000.233: require('telescope.previewers')
106.943  016.245  000.354: require('telescope._extensions.media_files')
107.690  000.552  000.552: require('fzf_lib')
107.692  000.747  000.195: require('telescope._extensions.fzf')
108.743  000.069  000.069: require('harpoon.utils')
108.745  000.140  000.070: require('harpoon.logger')
108.987  000.068  000.068: require('harpoon.autocmd')
108.989  000.145  000.077: require('harpoon.buffer')
109.063  000.073  000.073: require('harpoon.extensions')
109.065  000.292  000.074: require('harpoon.ui')
109.135  000.069  000.069: require('harpoon.data')
109.205  000.069  000.069: require('harpoon.config')
109.281  000.075  000.075: require('harpoon.list')
109.593  001.454  000.809: require('harpoon')
110.007  000.267  000.267: require('telescope._extensions.marks')
110.008  002.106  000.385: require('telescope._extensions.harpoon')
110.376  000.183  000.183: require('telescope._extensions.tmux.pane_contents')
110.757  000.092  000.092: require('telescope._extensions.tmux.utils')
110.840  000.082  000.082: require('telescope._extensions.tmux.tmux_commands')
110.841  000.464  000.291: require('telescope._extensions.tmux.sessions')
111.029  000.187  000.187: require('telescope._extensions.tmux.windows')
111.032  001.022  000.187: require('telescope._extensions.tmux')
111.268  085.506  003.903: require('telescope.builtin')
112.583  000.346  000.346: require('ibl.utils')
112.587  000.525  000.179: require('ibl.config')
112.750  000.077  000.077: require('ibl.indent')
112.753  000.166  000.089: require('ibl.hooks')
112.755  000.866  000.175: require('ibl.highlights')
112.836  000.080  000.080: require('ibl.autocmds')
112.911  000.074  000.074: require('ibl.inlay_hints')
112.979  000.066  000.066: require('ibl.virt_text')
113.310  000.262  000.262: require('ibl.scope_languages')
113.312  000.332  000.070: require('ibl.scope')
113.315  001.950  000.531: require('ibl')
114.065  000.498  000.498: require('alpha')
114.342  000.276  000.276: require('alpha.themes.dashboard')
115.277  000.787  000.787: sourcing /Users/win/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
115.483  000.140  000.140: sourcing /Users/win/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
116.388  000.127  000.127: require('gitsigns.async')
116.808  000.419  000.419: require('gitsigns.config')
116.877  000.069  000.069: require('gitsigns.debug.log')
116.879  001.145  000.530: require('gitsigns')
117.138  000.149  000.149: sourcing /Users/win/.local/share/nvim/lazy/winbar.nvim/plugin/winbar.lua
117.917  000.377  000.377: require('winbar.config')
117.919  000.772  000.395: require('winbar')
118.099  000.068  000.068: require('winbar.utils')
118.305  000.359  000.291: require('winbar.winbar')
119.307  000.065  000.065: require('illuminate.util')
119.382  000.073  000.073: require('illuminate.config')
119.450  000.067  000.067: require('illuminate.reference')
119.451  000.279  000.074: require('illuminate.highlight')
119.455  000.754  000.475: require('illuminate.engine')
119.555  000.090  000.090: require('illuminate')
119.603  001.109  000.265: sourcing /Users/win/.local/share/nvim/lazy/vim-illuminate/plugin/illuminate.vim
120.193  000.075  000.075: require('lualine_require')
120.678  001.008  000.933: require('lualine')
121.845  000.132  000.132: require('lualine.highlight')
124.504  000.093  000.093: require('lualine.utils.mode')
125.966  000.153  000.153: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/editorconfig.lua
126.179  000.176  000.176: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/gzip.vim
126.331  000.114  000.114: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/health.vim
126.513  000.146  000.146: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/man.lua
127.735  000.218  000.218: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
127.815  001.266  001.048: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/matchit.vim
128.097  000.245  000.245: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/matchparen.vim
128.265  000.130  000.130: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/netrwPlugin.vim
128.520  000.218  000.218: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/nvim.lua
128.755  000.181  000.181: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/rplugin.vim
128.928  000.135  000.135: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/shada.vim
129.086  000.118  000.118: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/spellfile.vim
129.396  000.268  000.268: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tarPlugin.vim
129.600  000.163  000.163: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tohtml.vim
129.747  000.100  000.100: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tutor.vim
129.959  000.172  000.172: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/zipPlugin.vim
130.368  000.267  000.267: sourcing /Users/win/.local/share/nvim/lazy/indent-blankline.nvim/after/plugin/commands.lua
130.396  122.073  012.786: require('core.lazy')
130.397  124.755  000.405: require('core')
130.398  124.937  000.182: sourcing /Users/win/.config/nvim/init.lua
130.406  000.949: sourcing vimrc file(s)
130.757  000.026  000.026: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/filetype.lua
131.305  000.104  000.104: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/syntax/synload.vim
131.346  000.526  000.422: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/syntax/syntax.vim
131.352  000.394: inits 3
133.337  001.985: reading ShaDa
133.518  000.181: opening buffers
134.283  000.148  000.148: sourcing /Users/win/.local/share/nvim/lazy/codeium.vim/autoload/codeium/util.vim
134.749  000.342  000.342: sourcing /Users/win/.local/share/nvim/lazy/codeium.vim/autoload/codeium.vim
135.306  000.492  000.492: sourcing /Users/win/.local/share/nvim/lazy/codeium.vim/autoload/codeium/command.vim
135.357  001.558  000.576: sourcing /Users/win/.local/share/nvim/lazy/codeium.vim/plugin/codeium.vim
135.533  000.458: BufEnter autocommands
135.535  000.001: editing files in windows
138.014  000.179  000.179: require('ts_context_commentstring.utils')
138.017  000.428  000.249: require('ts_context_commentstring.internal')
138.378  000.174  000.174: require('illuminate.providers.treesitter')
139.287  000.213  000.213: require('vim.version')
140.486  000.108  000.108: require('illuminate.providers.lsp')
140.680  000.185  000.185: require('illuminate.providers.regex')
140.742  004.099: VimEnter autocommands
140.758  000.016: UIEnter autocommands
